runTime,commRange,commReliability,numTaxis,numCustomers,newCustomerProb,seeRange,lazyProb,passengersDelivered,passengersSpawned,numMessagesSent,numNewParcelsComm,ticksTaxiSpentIdle,ticks,numParcelsKnownPerTickAverage,numParcelsAvailablePerTickAverage,waitingTimePassengerAverage
50000000,1,1.0,5,10,0.001,1000,0.0,47,55,1440731,0,239139,250010,0.0437582496700132,4.921787128514859,2.1311361702127658E7,
50000000,1,1.0,5,10,0.01,1000,0.0,304,493,14384598,0,161445,250010,52.006699732010716,87.22558697652094,2.1992045901639346E7,
50000000,1,1.0,5,10,0.1,1000,0.0,861,5078,298150343,0,44147,250010,1187.0094996200153,2105.8640094396224,2.450908901734104E7,
50000000,1,1.0,5,10,0.2,1000,0.0,1074,10134,602743254,0,1238,250010,2405.2457701691933,4482.897300107996,2.4938390900649954E7,
50000000,1000000,1.0,5,10,0.001,1000,0.0,50,58,1579962,574,238297,250010,0.33408663653453863,5.746938122475101,2.018794E7,
50000000,1000000,1.0,5,10,0.01,1000,0.0,446,520,2101173,4949,130044,250010,2.9034038638454462,53.192296308147675,2.6264373333333332E7,
50000000,1000000,1.0,5,10,0.1,1000,0.0,1044,5175,385220137,24497,697,250010,1535.6657133714652,2090.049222031119,2.537413072519084E7,
50000000,1000000,1.0,5,10,0.2,1000,0.0,1066,9966,849972400,41211,844,250010,3393.897404103836,4481.663317467302,2.525609906542056E7,
