runTime,commRange,commReliability,numTaxis,numCustomers,newCustomerProb,seeRange,lazyProb,passengersDelivered,passengersSpawned,numMessagesSent,numNewParcelsComm,ticksTaxiSpentIdle,ticks,numParcelsKnownPerTickAverage,numParcelsAvailablePerTickAverage,waitingTimePassengerAverage
10000000,1,1.0,2,10,0.001,100000,0.0,16,16,212493,0,8479,20004,7.62252549490102,0.7333033393321335,1595437.5,
10000000,1,1.0,2,10,0.005,100000,0.0,36,57,585637,0,9973,20004,26.275994801039793,16.573385322935412,4981513.513513514,
10000000,1,1.0,2,10,0.01,100000,0.0,76,101,774703,0,0,20004,35.72740451909618,15.821035792841432,5070641.025641026,
10000000,1,1.0,5,10,0.001,100000,0.0,17,17,849351,0,38076,50010,10.989562087582483,0.4639672065586883,1864235.294117647,
10000000,1,1.0,5,10,0.005,100000,0.0,41,58,1679621,0,37287,50010,27.591701659668065,8.389682063587282,4081097.56097561,
10000000,1,1.0,5,10,0.01,100000,0.0,98,122,3234721,0,22932,50010,58.681483703259346,14.13257348530294,4408202.02020202,
10000000,1,1.0,10,10,0.001,100000,0.0,24,24,2515485,0,87354,100020,14.1500199960008,0.6131573685262948,3756041.6666666665,
10000000,1,1.0,10,10,0.005,100000,0.0,47,54,4336190,0,86831,100020,32.355328934213155,5.785482903419316,3850041.6666666665,
10000000,1,1.0,10,10,0.01,100000,0.0,75,105,6650525,16,78580,100020,55.49380123975205,12.940351929614078,3617197.3684210526,
10000000,1000000,1.0,2,10,0.001,100000,0.0,18,18,81322,55,15029,20004,1.0644371125774845,0.6796640671865627,2190500.0,
10000000,1000000,1.0,2,10,0.005,100000,0.0,47,48,117080,148,4645,20004,2.850879824035193,1.7500999800039991,4701750.0,
10000000,1000000,1.0,2,10,0.01,100000,0.0,79,113,569538,237,0,20004,25.46765646870626,23.686712657468508,4975025.316455696,
10000000,1000000,1.0,5,10,0.001,100000,0.0,17,17,330976,124,44257,50010,0.6169966006798641,0.249250149970006,2751647.0588235296,
10000000,1000000,1.0,5,10,0.005,100000,0.0,60,66,426053,425,27322,50010,2.5149170165966805,1.1513497300539892,4675687.5,
10000000,1000000,1.0,5,10,0.01,100000,0.0,104,108,468380,741,15721,50010,3.3576684663067384,1.0219156168766246,4373704.761904762,
10000000,1000000,1.0,10,10,0.001,100000,0.0,18,19,1252359,233,91899,100020,1.5197360527894421,1.11623675264947,3090500.0,
10000000,1000000,1.0,10,10,0.005,100000,0.0,65,66,1295103,828,73624,100020,1.9432113577284542,0.3476604679064187,3676954.5454545454,
10000000,1000000,1.0,10,10,0.01,100000,0.0,93,93,1360629,1168,63620,100020,2.595800839832034,0.4611177764447111,4579397.849462366,
