runTime,commRange,commReliability,numTaxis,numCustomers,newCustomerProb,seeRange,lazyProb,passengersDelivered,passengersSpawned,numMessagesSent,numNewParcelsComm,ticksTaxiSpentIdle,ticks,numParcelsKnownPerTickAverage,waitingTimePassengerAverage
10000000,1,1.0,5,10,0.001,1000,0.0,14,16,233600,0,46532,50010,0.0709258148370326,3642000.0,
10000000,1,1.0,5,10,0.002,1000,0.0,22,28,195449,0,36997,50010,0.3074585082983403,3488391.304347826,
10000000,1,1.0,5,10,0.005,1000,0.0,47,53,261024,0,32662,50010,0.40561887622475506,4952531.914893617,
10000000,1,1.0,5,10,0.01,1000,0.0,68,101,223393,0,26926,50010,0.649750049990002,5418797.101449275,
10000000,1,1.0,5,10,0.02,1000,0.0,109,214,477267,0,21094,50010,4.844291141771646,4905819.81981982,
10000000,1,1.0,5,10,0.05,1000,0.0,98,515,3094358,0,25752,50010,58.215416916616675,4467262.626262627,
10000000,1,1.0,5,10,0.1,1000,0.0,201,1045,4337623,0,1227,50010,83.24025194961008,5101317.073170732,
10000000,1000000,1.0,5,10,0.001,1000,0.0,13,15,265797,167,46810,50010,0.3157568486302739,2600571.4285714286,
10000000,1000000,1.0,5,10,0.002,1000,0.0,21,27,324282,255,45024,50010,0.4908018396320736,3651714.285714286,
10000000,1000000,1.0,5,10,0.005,1000,0.0,51,70,359301,593,37264,50010,1.2246950609878025,4938566.037735849,
10000000,1000000,1.0,5,10,0.01,1000,0.0,83,103,408213,949,27577,50010,2.2019196160767844,5405755.813953488,
10000000,1000000,1.0,5,10,0.02,1000,0.0,131,215,512502,1463,12063,50010,4.362727454509098,4918007.5187969925,
10000000,1000000,1.0,5,10,0.05,1000,0.0,188,503,2405576,2520,1773,50010,43.11133773245351,5202786.458333333,
10000000,1000000,1.0,5,10,0.1,1000,0.0,200,997,8523340,3849,1467,50010,164.89250149970005,5206367.647058823,
