runTime,commRange,commReliability,numTaxis,numCustomers,newCustomerProb,seeRange,lazyProb,passengersDelivered,passengersSpawned,numMessagesSent,numNewParcelsComm,ticksTaxiSpentIdle,ticks,numParcelsKnownPerTickAverage,waitingTimePassengerAverage
10000000,1,1.0,5,10,0.01,1000,0.0,76,115,300269,0,24855,50010,1.2606678664267146,4937671.052631579,
10000000,1000,1.0,5,10,0.01,1000,0.0,73,120,416435,148,17810,50010,3.114877024595081,5079794.520547945,
10000000,2000,1.0,5,10,0.01,1000,0.0,64,111,491116,330,27536,50010,4.79630073985203,4530234.375,
10000000,3000,1.0,5,10,0.01,1000,0.0,68,102,332953,179,13280,50010,1.2675864827034593,5418855.072463769,
10000000,4000,1.0,5,10,0.01,1000,0.0,67,112,466232,443,15861,50010,4.026534693061388,4731705.882352941,
10000000,5000,1.0,5,10,0.01,1000,0.0,70,116,575877,600,19711,50010,6.683803239352129,4822361.111111111,
10000000,6000,1.0,5,10,0.01,1000,0.0,55,121,808877,663,31099,50010,11.345910817836433,4435750.0,
10000000,7000,1.0,5,10,0.01,1000,0.0,62,118,514303,500,23260,50010,5.398520295940812,4503741.935483871,
10000000,8000,1.0,5,10,0.01,1000,0.0,79,106,386556,523,13305,50010,1.8669266146770647,4879670.886075949,
10000000,9000,1.0,5,10,0.01,1000,0.0,84,119,415431,690,12204,50010,2.638992201559688,4915380.952380952,
10000000,10000,1.0,5,10,0.01,1000,0.0,71,110,507422,741,20118,50010,4.324315136972605,4723597.222222222,
10000000,1000000,1.0,5,10,0.01,1000,0.0,72,110,386409,820,32001,50010,1.7454709058188362,4894136.98630137,
