runTime,commRange,commReliability,numTaxis,numCustomers,newCustomerProb,seeRange,lazyProb,passengersDelivered,passengersSpawned,numMessagesSent,numNewParcelsComm,ticksTaxiSpentIdle,ticks,numParcelsKnownPerTickAverage,waitingTimePassengerAverage
10000000,1,1.0,2,10,0.01,1000,0.0,46,105,63201,0,6510,20004,1.5805338932213557,5506148.936170213,
10000000,1,1.0,5,10,0.01,1000,0.0,64,111,394049,0,33525,50010,3.4956408718256347,4945492.307692308,
10000000,1,1.0,10,10,0.01,1000,0.0,100,130,866212,0,67931,100020,0.7627074585082984,5316176.470588235,
10000000,1,1.0,20,10,0.01,1000,0.0,106,120,3025225,0,173869,200040,0.13915216956608678,5561691.588785047,
10000000,1000000,1.0,2,10,0.01,1000,0.0,51,123,109494,210,6055,20004,2.6238252349530096,5694692.307692308,
10000000,1000000,1.0,5,10,0.01,1000,0.0,89,119,404521,1000,25771,50010,2.371365726854629,5010000.0,
10000000,1000000,1.0,10,10,0.01,1000,0.0,103,124,1261512,2262,72502,100020,2.614487102579484,4930375.0,
10000000,1000000,1.0,20,10,0.01,1000,0.0,80,91,4379640,3660,178759,200040,1.897620475904819,4655737.5,
