runTime,commRange,commReliability,numTaxis,numCustomers,newCustomerProb,seeRange,lazyProb,passengersDelivered,passengersSpawned,numMessagesSent,numNewParcelsComm,ticksTaxiSpentIdle,ticks,numParcelsKnownPerTickAverage,waitingTimePassengerAverage
10000000,1,1.0,5,10,0.001,1000,0.0,14,16,233600,0,46532,50010,0.0709258148370326,3642000.0,
10000000,1,1.0,5,10,0.01,1000,0.0,64,111,394049,0,33525,50010,3.4956408718256347,4945492.307692308,
10000000,1,1.0,5,10,0.1,1000,0.0,190,998,4150672,0,4147,50010,78.9486902619476,4934300.518134715,
10000000,1,1.0,5,10,0.2,1000,0.0,205,2025,10581749,0,1238,50010,207.2770445910818,5121669.85645933,
10000000,1000000,1.0,5,10,0.001,1000,0.0,17,22,317422,211,45724,50010,0.4196160767846431,3490117.6470588236,
10000000,1000000,1.0,5,10,0.01,1000,0.0,84,123,393869,939,28179,50010,2.1586882623475305,5182290.697674419,
10000000,1000000,1.0,5,10,0.1,1000,0.0,203,1044,9213639,3941,973,50010,179.27048590281944,5177697.115384615,
10000000,1000000,1.0,5,10,0.2,1000,0.0,201,2052,24403970,6709,844,50010,482.2012397520496,4972068.62745098,
