runTime,commRange,commReliability,numTaxis,numCustomers,newCustomerProb,seeRange,lazyProb,passengersDelivered,passengersSpawned,numMessagesSent,numNewParcelsComm,ticksTaxiSpentIdle,ticks,numParcelsKnownPerTickAverage,numParcelsAvailablePerTickAverage,waitingTimePassengerAverage
10000000,1000000,1.0,5,10,0.005,1000,0.0,43,67,344894,501,39700,50010,0.9864227154569086,13.205798840231953,4420500.0,
10000000,1000000,1.0,5,10,0.005,1000,0.0,49,67,355989,567,37671,50010,1.1731853629274145,15.294401119776046,5420660.0,
10000000,1000000,1.0,5,10,0.005,1000,0.0,47,63,309266,538,38581,50010,1.1024195160967807,12.76132773445311,4920104.166666667,
10000000,1000000,1.0,5,10,0.005,1000,0.0,52,70,354873,608,36139,50010,1.346890621875625,14.04125174965007,5001222.222222222,
10000000,1000000,1.0,5,10,0.005,1000,0.0,43,56,340202,497,39844,50010,0.9865026994601079,11.816896620675864,4790209.302325581,
10000000,1000000,1.0,5,10,0.005,10000,0.0,66,72,382742,760,31226,50010,1.7680463907218555,3.9104179164167165,4734985.507246377,
10000000,1000000,1.0,5,10,0.005,10000,0.0,45,49,358665,522,37961,50010,1.1777844431113778,2.4695660867826437,4072244.4444444445,
10000000,1000000,1.0,5,10,0.005,10000,0.0,45,46,357554,513,38070,50010,1.1687062587482504,1.6905418916216757,3906777.777777778,
10000000,1000000,1.0,5,10,0.005,10000,0.0,58,64,378905,668,33274,50010,1.6110577884423116,2.0318336332733455,4632000.0,
10000000,1000000,1.0,5,10,0.005,10000,0.0,67,68,374402,758,31221,50010,1.8092781443711259,2.891821635672865,4677895.52238806,
10000000,1000000,1.0,5,10,0.005,100000,0.0,71,75,431493,511,23031,50010,2.6229554089182163,0.9415116976604679,4421533.333333333,
10000000,1000000,1.0,5,10,0.005,100000,0.0,46,46,371516,322,34399,50010,1.425374925014997,0.42019596080783844,3805108.695652174,
10000000,1000000,1.0,5,10,0.005,100000,0.0,45,45,371229,328,34949,50010,1.4197560487902419,0.4267346530693861,3736533.3333333335,
10000000,1000000,1.0,5,10,0.005,100000,0.0,73,73,419929,533,23789,50010,2.3916016796640673,0.6946010797840432,4311082.191780822,
10000000,1000000,1.0,5,10,0.005,100000,0.0,63,63,405025,458,27656,50010,2.0942011597680463,0.6663867226554689,4156428.5714285714,
10000000,1000000,1.0,5,10,0.005,1000000,0.0,62,62,416773,427,27726,50010,2.328914217156569,0.8270745850829834,4055241.935483871,
10000000,1000000,1.0,5,10,0.005,1000000,0.0,46,46,386695,315,32781,50010,1.72875424915017,0.6084183163367326,4250869.565217392,
10000000,1000000,1.0,5,10,0.005,1000000,0.0,62,62,396501,434,30327,50010,1.923475304939012,0.5468106378724256,4057451.6129032257,
10000000,1000000,1.0,5,10,0.005,1000000,0.0,47,50,379761,329,32461,50010,1.5899420115976806,0.5389922015596881,3664306.1224489794,
10000000,1000000,1.0,5,10,0.005,1000000,0.0,52,53,383911,364,31647,50010,1.6725254949010198,0.4518496300739852,4376150.9433962265,
