runTime,commRange,commReliability,numTaxis,numCustomers,newCustomerProb,seeRange,lazyProb,passengersDelivered,passengersSpawned,numMessagesSent,numNewParcelsComm,ticksTaxiSpentIdle,ticks,numParcelsKnownPerTickAverage,numParcelsAvailablePerTickAverage,waitingTimePassengerAverage
10000,1,1.0,5,10,0.01,1000,0.0,0,10,69,0,60,60,0.0,10.0,0.0,
10000,1000,1.0,5,10,0.01,1000,0.0,0,10,60,0,60,60,0.0,10.0,0.0,
10000,2000,1.0,5,10,0.01,1000,0.0,0,10,60,0,60,60,0.0,10.0,0.0,
10000,3000,1.0,5,10,0.01,1000,0.0,0,10,72,0,48,60,0.2,10.0,0.0,
10000,4000,1.0,5,10,0.01,1000,0.0,0,11,60,0,60,60,0.0,10.916666666666666,0.0,
10000,5000,1.0,5,10,0.01,1000,0.0,0,10,66,0,54,60,0.1,9.55,7000.0,
10000,6000,1.0,5,10,0.01,1000,0.0,0,10,60,0,60,60,0.0,10.0,0.0,
10000,7000,1.0,5,10,0.01,1000,0.0,0,11,60,0,60,60,0.0,10.166666666666666,0.0,
10000,8000,1.0,5,10,0.01,1000,0.0,0,10,60,0,60,60,0.0,10.0,0.0,
10000,9000,1.0,5,10,0.01,1000,0.0,0,10,60,0,60,60,0.0,10.0,0.0,
10000,10000,1.0,5,10,0.01,1000,0.0,0,10,60,0,60,60,0.0,10.0,0.0,
10000,1000000,1.0,5,10,0.01,1000,0.0,0,10,277,24,55,60,0.35,9.683333333333334,9000.0,
