runTime,commRange,commReliability,numTaxis,numCustomers,newCustomerProb,seeRange,lazyProb,passengersDelivered,passengersSpawned,numMessagesSent,numNewParcelsComm,ticksTaxiSpentIdle,ticks,numParcelsKnownPerTickAverage,numParcelsAvailablePerTickAverage,waitingTimePassengerAverage
50000000,1,1.0,5,10,0.005,1000,0.0,202,256,2109284,0,160867,250010,2.6561177552897886,23.621027158913645,2.4176584158415843E7,
50000000,1000,1.0,5,10,0.005,1000,0.0,203,253,3327069,1133,159557,250010,7.6158033678652854,24.94310627574897,2.4228563725490198E7,
50000000,2000,1.0,5,10,0.005,1000,0.0,213,265,2214133,930,104612,250010,2.952989880404784,21.44951801927923,2.3323295774647888E7,
50000000,3000,1.0,5,10,0.005,1000,0.0,208,275,3520860,1660,144636,250010,8.199640014399424,30.147102115915363,2.3492442307692308E7,
50000000,4000,1.0,5,10,0.005,1000,0.0,183,263,5265756,2015,193034,250010,15.1525618975241,46.21792328306868,2.5760907103825137E7,
50000000,5000,1.0,5,10,0.005,1000,0.0,178,239,4885969,1673,162314,250010,13.686856525738971,34.369629214831406,2.5457648044692736E7,
50000000,6000,1.0,5,10,0.005,1000,0.0,205,271,6753193,2274,181419,250010,21.552313907443704,38.91379944802208,2.4189453658536587E7,
50000000,7000,1.0,5,10,0.005,1000,0.0,193,258,8133663,2358,197428,250010,26.63793048278069,42.67513299468021,2.5082505154639177E7,
50000000,8000,1.0,5,10,0.005,1000,0.0,198,260,6576808,2314,187773,250010,20.331294748210073,38.07706891724331,2.39464824120603E7,
50000000,9000,1.0,5,10,0.005,1000,0.0,197,290,6178762,2296,182373,250010,18.764609415623376,40.84754209831607,2.413221212121212E7,
50000000,10000,1.0,5,10,0.005,1000,0.0,182,219,3163801,2103,189071,250010,6.690060397584096,22.064761409543618,2.514350819672131E7,
50000000,1000000,1.0,5,10,0.005,1000,0.0,246,287,1935778,2731,188601,250010,1.7466021359145634,24.84653813847446,2.6946526315789472E7,
